Identifier,Mean_GFP_Intensity,Total_GFP_Intensity,Mean_GFP_Head,Total_GFP_Head,Mean_GFP_Tail,Total_GFP_Tail
C1_03_047,17422.538938866717,6954676826,19446.51020116836,3541909582,15724.067084099317,3412767244
C1_03_048,17800.886099136307,7094044730,20004.51116503786,3635379805,15953.693021947101,3458664925
C1_03_049,18152.566431572628,7258122162,20550.778113125016,3758634563,16130.75940445735,3499487599
C1_03_050,18550.756399388025,7396372084,21049.51777123652,3832948790,16450.264031613253,3563423294
C1_03_051,18904.678910890096,7549999426,21542.418132440886,3926536553,16690.140454717137,3623462873
C1_03_052,19287.583163611678,7699275310,22107.84089559787,4021681553,16926.29829567683,3677593757
C1_03_053,19583.029756079246,7823714133,22396.55731298846,4092209366,17211.817245467,3731504767
C1_03_054,20046.942684201535,7978442625,23100.12645619982,4197824280,17481.41560122997,3780618345
C1_03_055,20376.556225222463,8110725193,23484.384500974178,4278972278,17752.99376381251,3831752915
C1_03_056,20656.798612698756,8222211463,23730.09729649761,4330837677,18054.486677337787,3891373786
C1_03_057,20918.65025009619,8318238516,23989.101620940804,4380649847,18311.21467003353,3937588669
C1_03_058,21308.69782338715,8476045968,24677.582742564013,4483521943,18476.209102688696,3992524025
C1_03_059,21632.86720085685,8604170069,25073.194917817334,4559585569,18734.90284179077,4044584500
C1_03_060,22171.21310548359,8782217052,25770.299343405506,4694111566,19107.135947877377,4088105486
C1_03_061,22679.112143570397,8993900861,26541.126664145442,4842455101,19388.3166994363,4151445760
C2_03_001,2061.656506495973,803274978,3199.121318447634,511491512,1270.0539564117855,291783466
C2_03_002,2077.69370930423,811763243,3274.564962996938,528311762,1235.8042647994907,283451481
C2_03_003,2141.826638645567,836721711,3415.1260787644787,552823534,1240.9059108412775,283898177
C2_03_004,2194.645926449281,857320874,3508.283387120615,569632957,1260.274569158117,287687917
C2_03_005,2303.856741457812,898651576,3728.7518237326763,602126302,1297.2380764889624,296525274
C2_03_006,2400.019535766012,936259621,3868.532996767739,628346472,1352.3943648981026,307913149
C2_03_007,2545.820978823045,989382407,4133.997419362786,671208223,1406.1890775057786,318174184
C2_03_008,2721.615960894472,1058983492,4421.0036279222395,727507094,1476.2202419124983,331476398
C2_03_009,2953.347148410021,1150334621,4922.480977496053,804520446,1529.7180223299597,345814175
C2_03_010,3266.071580123699,1268418091,5499.121202938253,907333002,1616.5624535515701,361085089
C2_03_011,3554.7924131772484,1385309713,6121.5234141360115,1007088546,1679.5944996580604,378221167
C2_03_012,3962.876674051146,1540183908,6908.209275365837,1138189652,1795.4668548509562,401994256
C2_03_013,4395.92562244662,1710850293,7767.573070796514,1282480687,1911.65597568758,428369606
C2_03_014,4817.312342569269,1878048486,8503.887086798572,1416194836,2068.134148908064,461853650
C2_03_015,5102.224313522277,1988928673,9077.400627507768,1504442993,2162.1006689545297,484485680
C2_03_016,5430.394964152068,2123050924,9659.338382530901,1604406446,2306.542253333215,518644478
C2_03_017,5748.082492966004,2245218266,10293.403021454256,1706110964,2397.5775588712727,539107302
C2_03_018,6024.192117137384,2343079403,10662.936400671557,1771977434,2563.7085390817188,571101969
C2_03_019,6252.567457777023,2431917355,11033.309970533406,1834729115,2682.0995522260696,597188240
